Country,Year,PSS,GES,GDPpc,Educ,U,POP,GCF
AUT,2007,25.477,5.14690017700195,39435.605737620026,25.092672,4.86,8.295189,24.584304902242945
AUT,2008,25.947,5.26395988464355,41316.225176698965,26.191858,4.13,8.321541,24.467460740570484
AUT,2009,27.957,5.73024988174438,40918.52009935862,26.895824,5.3,8.341483,22.77532093879262
AUT,2010,28.052,5.70047998428345,42007.29374612553,27.743721,4.82,8.361069,22.607847118507326
AUT,2011,27.231,5.59226989746094,44452.73274579992,27.956152,4.56,8.388534,24.140474472755923
AUT,2012,27.611,5.48040008544922,46457.345777031136,28.739943,4.87,8.426311,23.977106887164798
AUT,2013,28.031,5.54711008071899,47922.049120745505,29.738844,5.34,8.47723,23.72339000130283
AUT,2014,28.255,5.44761991500854,48799.715467698465,29.904896,5.62,8.543932,23.531542785421422
AUT,2015,28.261,5.45658016204834,49865.90394241847,30.550726,5.72,8.629519,23.805525692784105
AUT,2016,28.197,5.4796199798584,52684.01711307681,31.383963,6.01,8.739806,24.25632595695929
AUT,2017,27.826,5.37159013748169,54172.98678882535,32.39439,5.5,8.795073,24.838419298667727
AUT,2018,27.561,5.22655010223389,56937.94428298396,32.711426,4.85,8.837707,25.726435431980388
AUT,2019,27.708,5.21750020980835,59700.86363026365,33.773777,4.49,8.877637,25.34941264471744
AUT,2020,31.108,5.56900978088379,57235.545869493675,34.205894,5.36,8.916845,25.627310945571836
AUT,2021,31.061,4.98649978637695,59828.88281238443,34.604504,6.18,8.95152,27.66001066722153
DNK,2002,24.804,8.2130298614502,30640.34562309681,29.61084,4.27,5.374255,21.343037915221952
DNK,2003,25.328,8.12193012237549,30821.943177174027,31.847263,5.4,5.387174,20.921735623489006
DNK,2004,25.119,8.2076301574707,32938.88288432917,32.848095,5.2,5.401177,21.691315996234948
DNK,2005,25.195,8.08557033538818,34150.15945589448,33.544121,4.83,5.415978,22.20644844141162
DNK,2006,24.961,7.72990989685059,37331.98007919674,34.719662,3.9,5.434567,24.298292041808963
DNK,2007,25.912,7.61560010910034,39011.13938716085,30.903458,3.8,5.457415,25.27783558497777
DNK,2008,26.324,7.47604990005493,41278.3268270571,31.126369,3.68,5.489022,23.984099269263844
DNK,2009,29.282,8.44888019561768,40331.82422552699,32.001427,6.41,5.519441,19.08836673188088
DNK,2010,29.908,8.55955028533936,43000.856635240074,33.002644,7.75,5.543819,18.076046184296004
DNK,2011,30.022,8.48486042022705,44403.384841392915,33.662952,7.77,5.566856,19.126961092828097
DNK,2012,30.204,7.23782014846802,44803.968242121424,34.639698,7.8,5.587085,19.466390935490676
DNK,2013,30.047,8.49442958831787,46726.85414378318,35.204632,7.38,5.608784,19.690805627321364
DNK,2014,30.019,7.634850025177,47901.44736270664,35.800922,6.93,5.639719,20.09102057669058
DNK,2015,29.975,7.01041460037231,49045.33919041089,36.565422,6.28,5.678348,20.631205909233696
DNK,2016,29.429,7.4769401550293,51976.00570609559,37.766045,5.99,5.724456,21.775395696839436
DNK,2017,28.979,7.11585998535156,55356.680780178,38.889214,5.83,5.760694,22.05306246164721
DNK,2018,28.534,7.00015020370483,57482.96239990667,39.44791,5.13,5.789957,22.599289834526907
